timestamp, light1, light2, light3, UUID 
1498223432319,478,4675,478,,80ec3f676e17debf
1498223432319,478,4675,478,,80ec3f676e17debf
1498223432503,471,4666,471,,80ec3f676e17debf
1498223432675,478,4675,478,,80ec3f676e17debf
1498223432675,478,4675,478,,80ec3f676e17debf
1498223432856,476,4710,476,,80ec3f676e17debf
1498223432856,476,4710,476,,80ec3f676e17debf
1498223433037,476,4710,476,,80ec3f676e17debf
1498223433037,476,4710,476,,80ec3f676e17debf
1498223433221,476,4710,476,,80ec3f676e17debf
1498223433396,473,4710,473,,80ec3f676e17debf
1498223433396,473,4710,473,,80ec3f676e17debf
1498223433576,473,4710,473,,80ec3f676e17debf
1498223433576,473,4710,473,,80ec3f676e17debf
1498223433762,464,4738,464,,80ec3f676e17debf
1498223433762,464,4738,464,,80ec3f676e17debf
1498223433938,461,4729,461,,80ec3f676e17debf
1498223433938,461,4729,461,,80ec3f676e17debf
1498223434119,464,4738,464,,80ec3f676e17debf
1498223434300,473,4710,473,,80ec3f676e17debf
1498223434300,473,4710,473,,80ec3f676e17debf
1498223434482,478,4675,478,,80ec3f676e17debf
1498223434482,478,4675,478,,80ec3f676e17debf
1498223434656,488,4692,488,,80ec3f676e17debf
1498223434656,488,4692,488,,80ec3f676e17debf
1498223434837,495,4700,495,,80ec3f676e17debf
1498223434837,495,4700,495,,80ec3f676e17debf
1498223435015,502,4708,502,,80ec3f676e17debf
1498223435196,504,4675,504,,80ec3f676e17debf
1498223435196,504,4675,504,,80ec3f676e17debf
1498223435377,509,4642,509,,80ec3f676e17debf
1498223435377,509,4642,509,,80ec3f676e17debf
1498223435559,492,4615,492,,80ec3f676e17debf
1498223435736,482,4510,482,,80ec3f676e17debf
1498223436097,466,4235,466,,80ec3f676e17debf
1498223436097,466,4235,466,,80ec3f676e17debf
1498223436284,499,4151,499,,80ec3f676e17debf
1498223436284,499,4151,499,,80ec3f676e17debf
1498223436456,514,4114,514,,80ec3f676e17debf
1498223436456,514,4114,514,,80ec3f676e17debf
1498223436638,519,4090,519,,80ec3f676e17debf
1498223436825,533,4117,533,,80ec3f676e17debf
1498223436825,533,4117,533,,80ec3f676e17debf
1498223436997,519,4204,519,,80ec3f676e17debf
1498223436997,519,4204,519,,80ec3f676e17debf
1498223437176,477,4249,477,,80ec3f676e17debf
1498223437176,477,4249,477,,80ec3f676e17debf
1498223437364,478,4292,478,,80ec3f676e17debf
1498223437364,478,4292,478,,80ec3f676e17debf
1498223437536,487,4276,487,,80ec3f676e17debf
1498223437536,487,4276,487,,80ec3f676e17debf
1498223437723,501,4232,501,,80ec3f676e17debf
1498223437897,496,4260,496,,80ec3f676e17debf
1498223437897,496,4260,496,,80ec3f676e17debf
1498223438081,494,4219,494,,80ec3f676e17debf
1498223438081,494,4219,494,,80ec3f676e17debf
1498223438257,472,4206,472,,80ec3f676e17debf
