timestamp, light1, light2, light3, UUID 
1497864776145,240,5949,240,,80ec3f676e17debf
1497864776324,247,5934,247,,80ec3f676e17debf
1497864776324,247,5934,247,,80ec3f676e17debf
1497864776504,230,5981,230,,80ec3f676e17debf
1497864776685,223,5998,223,,80ec3f676e17debf
1497864776685,223,5998,223,,80ec3f676e17debf
1497864776873,230,5981,230,,80ec3f676e17debf
1497864776873,230,5981,230,,80ec3f676e17debf
1497864777046,217,6136,217,,80ec3f676e17debf
1497864777046,217,6136,217,,80ec3f676e17debf
1497864777228,198,6220,198,,80ec3f676e17debf
1497864777228,198,6220,198,,80ec3f676e17debf
1497864777405,206,6185,206,,80ec3f676e17debf
1497864777594,205,6153,205,,80ec3f676e17debf
1497864777594,205,6153,205,,80ec3f676e17debf
1497864777782,187,6230,187,,80ec3f676e17debf
1497864777782,187,6230,187,,80ec3f676e17debf
1497864777944,188,6188,188,,80ec3f676e17debf
1497864777944,188,6188,188,,80ec3f676e17debf
1497864778124,180,6225,180,,80ec3f676e17debf
1497864778305,152,6247,152,,80ec3f676e17debf
1497864778305,152,6247,152,,80ec3f676e17debf
1497864778486,152,6194,152,,80ec3f676e17debf
1497864778486,152,6194,152,,80ec3f676e17debf
1497864778666,151,6160,151,,80ec3f676e17debf
1497864778666,151,6160,151,,80ec3f676e17debf
1497864778845,128,6190,128,,80ec3f676e17debf
1497864778845,128,6190,128,,80ec3f676e17debf
1497864779026,124,6160,124,,80ec3f676e17debf
1497864779026,124,6160,124,,80ec3f676e17debf
1497864779210,126,6088,126,,80ec3f676e17debf
1497864779386,105,6098,105,,80ec3f676e17debf
1497864779386,105,6098,105,,80ec3f676e17debf
1497864779565,98,6081,98,,80ec3f676e17debf
1497864779565,98,6081,98,,80ec3f676e17debf
1497864779745,104,5975,104,,80ec3f676e17debf
1497864779745,104,5975,104,,80ec3f676e17debf
1497864779926,91,5979,91,,80ec3f676e17debf
1497864779926,91,5979,91,,80ec3f676e17debf
1497864780105,79,5903,79,,80ec3f676e17debf
1497864780291,77,5914,77,,80ec3f676e17debf
1497864780291,77,5914,77,,80ec3f676e17debf
1497864780466,70,5782,70,,80ec3f676e17debf
1497864780466,70,5782,70,,80ec3f676e17debf
1497864780646,55,5757,55,,80ec3f676e17debf
1497864780646,55,5757,55,,80ec3f676e17debf
1497864780824,55,5645,55,,80ec3f676e17debf
1497864780824,55,5645,55,,80ec3f676e17debf
1497864781008,60,5627,60,,80ec3f676e17debf
1497864781184,51,5660,51,,80ec3f676e17debf
1497864781184,51,5660,51,,80ec3f676e17debf
1497864781365,54,5533,54,,80ec3f676e17debf
1497864781365,54,5533,54,,80ec3f676e17debf
1497864781546,60,5521,60,,80ec3f676e17debf
1497864781546,60,5521,60,,80ec3f676e17debf
1497864781728,47,5422,47,,80ec3f676e17debf
1497864781728,47,5422,47,,80ec3f676e17debf
1497864781910,40,5422,40,,80ec3f676e17debf
1497864782086,44,5422,44,,80ec3f676e17debf
1497864782086,44,5422,44,,80ec3f676e17debf
1497864782267,44,5290,44,,80ec3f676e17debf
1497864782267,44,5290,44,,80ec3f676e17debf
1497864782444,39,5274,39,,80ec3f676e17debf
1497864782444,39,5274,39,,80ec3f676e17debf
1497864782624,42,5280,42,,80ec3f676e17debf
1497864782624,42,5280,42,,80ec3f676e17debf
1497864782804,42,5280,42,,80ec3f676e17debf
1497864782804,42,5280,42,,80ec3f676e17debf
1497864782983,37,5114,37,,80ec3f676e17debf
1497864783164,39,5126,39,,80ec3f676e17debf
1497864783164,39,5126,39,,80ec3f676e17debf
1497864783343,44,5040,44,,80ec3f676e17debf
1497864783343,44,5040,44,,80ec3f676e17debf
1497864783526,44,4912,44,,80ec3f676e17debf
1497864783719,45,4806,45,,80ec3f676e17debf
1497864783719,45,4806,45,,80ec3f676e17debf
1497864783886,47,4729,47,,80ec3f676e17debf
1497864783886,47,4729,47,,80ec3f676e17debf
1497864784065,53,4704,53,,80ec3f676e17debf
1497864784065,53,4704,53,,80ec3f676e17debf
1497864784244,59,4455,59,,80ec3f676e17debf
1497864784244,59,4455,59,,80ec3f676e17debf
1497864784423,70,4314,70,,80ec3f676e17debf
1497864784423,70,4314,70,,80ec3f676e17debf
1497864784605,85,4272,85,,80ec3f676e17debf
1497864784785,107,4223,107,,80ec3f676e17debf
1497864784785,107,4223,107,,80ec3f676e17debf
1497864784965,141,4051,141,,80ec3f676e17debf
1497864784965,141,4051,141,,80ec3f676e17debf
1497864785149,158,3976,158,,80ec3f676e17debf
1497864785149,158,3976,158,,80ec3f676e17debf
1497864785329,192,3996,192,,80ec3f676e17debf
1497864785329,192,3996,192,,80ec3f676e17debf
1497864785505,208,3973,208,,80ec3f676e17debf
1497864785687,229,3958,229,,80ec3f676e17debf
1497864785687,229,3958,229,,80ec3f676e17debf
1497864785871,240,3925,240,,80ec3f676e17debf
1497864785871,240,3925,240,,80ec3f676e17debf
1497864786049,261,3916,261,,80ec3f676e17debf
1497864786049,261,3916,261,,80ec3f676e17debf
1497864786224,267,3941,267,,80ec3f676e17debf
1497864786224,267,3941,267,,80ec3f676e17debf
1497864786406,257,3964,257,,80ec3f676e17debf
1497864786600,251,3945,251,,80ec3f676e17debf
1497864786600,251,3945,251,,80ec3f676e17debf
1497864786765,264,3934,264,,80ec3f676e17debf
1497864786765,264,3934,264,,80ec3f676e17debf
1497864786947,278,3952,278,,80ec3f676e17debf
1497864786947,278,3952,278,,80ec3f676e17debf
1497864787124,283,3945,283,,80ec3f676e17debf
1497864787485,296,3919,296,,80ec3f676e17debf
1497864787485,296,3919,296,,80ec3f676e17debf
1497864787668,296,3900,296,,80ec3f676e17debf
1497864787668,296,3900,296,,80ec3f676e17debf
1497864787850,279,3857,279,,80ec3f676e17debf
1497864787850,279,3857,279,,80ec3f676e17debf
1497864788026,243,3826,243,,80ec3f676e17debf
1497864788205,194,3829,194,,80ec3f676e17debf
1497864788205,194,3829,194,,80ec3f676e17debf
1497864788388,178,3825,178,,80ec3f676e17debf
1497864788388,178,3825,178,,80ec3f676e17debf
1497864788566,162,3819,162,,80ec3f676e17debf
1497864788747,153,3889,153,,80ec3f676e17debf
1497864788924,144,3912,144,,80ec3f676e17debf
1497864789104,125,3922,125,,80ec3f676e17debf
1497864789284,101,3907,101,,80ec3f676e17debf
1497864789465,93,3966,93,,80ec3f676e17debf
1497864789465,93,3966,93,,80ec3f676e17debf
1497864789644,75,3894,75,,80ec3f676e17debf
1497864789644,75,3894,75,,80ec3f676e17debf
1497864789828,60,3897,60,,80ec3f676e17debf
1497864789828,60,3897,60,,80ec3f676e17debf
1497864790004,45,3840,45,,80ec3f676e17debf
1497864790187,30,3884,30,,80ec3f676e17debf
