UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
80ec3f676e17debf,-0.9522733498298696,-0.7870775902364215,-0.8138696281906003,-0.8599328121478917,-1.6466178671354568,-1.9100028545664376,2.010338661741157,-0.4145182319490058,-0.25868030734502456,-0.6991916567497749,0.04915199312855385,0.16175028625521182,-0.2734305369875223,-1.0435097868983774,-1.160978510716687,-0.8191630180602913,-1.110575225921758,-1.0907036219281974,-1.1848180560739512,-0.7928700559299621,-1.1366202223032191,-0.44705494773176213,-0.6197342490435784,-0.4246461509090576,undefined,1498223302408
80ec3f676e17debf,-0.9522733757089269,-0.7641839760816951,-0.80366196348006,-0.8271326849388547,-1.5781974108436703,-1.8820147163203602,2.0094760841100374,-0.38718601278425785,-0.287008709688735,-0.6838017547779943,0.04094228042458393,0.07960793837188865,-0.45185773172905525,-1.0222733852377606,-1.1223467128785702,-0.6662149712872977,-1.0498718524888115,-1.069684134076772,-1.1601266620934856,-0.7382648134088894,-1.1084097579805152,-0.44668628981061254,-0.625438294339599,-0.43433517271723776,undefined,1498223303929
80ec3f676e17debf,-1.0077139593956717,-0.8017529651894563,-0.7902633552325595,-0.8288087198516992,-1.487312989803239,-1.8607417748195536,1.997423688027257,-0.4422106229173921,-0.2792226363427179,-0.6865824226110644,0.03857242864241319,0.32903224235302436,-0.36917195855614976,-1.0297061293804395,-1.1320046623380995,-0.782084727459142,-1.114084470325918,-1.0642803680357056,-1.1537552072645483,-0.7706005826006027,-1.1106279780107244,-0.45043177773382576,-0.6286587310530581,-0.4398409732673829,undefined,1498223305388
80ec3f676e17debf,-1.0770146933172786,-0.9708134892443622,-0.8846889553386214,-0.9219713406693101,-1.5570602996946445,-1.8649693431722874,1.966673373605126,-0.6920924492810012,-0.3000850095980777,-0.6522758687683817,0.07902780101114922,0.15630005794517668,0.6143535539215687,-1.056251636312751,-1.1501132966383643,-0.7890369162212193,-1.1590417176156915,-1.0858010119133124,-1.1541243341952037,-0.7834395253987746,-1.1232730116353706,-0.4510167979291504,-0.6216083438688619,-0.436047817976408,undefined,1498223306890
80ec3f676e17debf,-1.1061210070852192,-1.0389072874824279,-0.9357303285347158,-0.9754091929961302,-1.5439254644824956,-1.8088812622046413,1.949997775700603,-0.7550291468244101,-0.2860913475511367,-0.6784204366213646,0.0896556650287575,0.2813149366080291,-0.016669451871657744,-1.063684369123502,-1.1633929847375206,-0.8052586899993995,-1.1449736511450106,-1.097610855168171,-1.157406355736713,-0.7923932310948205,-1.1322094761097177,-0.4481094463830061,-0.6170705231032543,-0.4314232902316408,undefined,1498223308381
80ec3f676e17debf,-1.1823517384870856,-0.9913590141786107,-0.9695447744771958,-1.0125991488473154,-1.5347609102917072,-1.833002862354228,1.9561594078347302,-0.7396712637323258,-0.29044966423561003,-0.674120156839602,0.08919627177958059,-0.17468994190508938,-0.47361714572192515,-1.0923535197833383,-1.2032320287888465,-0.9860154600228906,-1.2364225166968272,-1.14426917926533,-1.2069656826089608,-0.9971452302704791,-1.2091399939269596,-0.4671298940828279,-0.6608811664704549,-0.5044794445956048,undefined,1498223309888
80ec3f676e17debf,-1.1116650257726723,-0.9661173108034063,-0.9542325150005371,-1.0126034392481962,-1.5652888591939058,-1.8365642700619873,1.9434101038826257,-0.8281825413238489,-0.28232625750677526,-0.6807713393378096,0.08904241264420076,-0.0758494185309615,0.42287071078431376,-1.1188990267156498,-1.2346203548693844,-0.9118588046256979,-1.2436285736197008,-1.1639014097885367,-1.2271392816578595,-0.8517137400535493,-1.1891888645671314,-0.4736742270315319,-0.6509427213978519,-0.49960357314438075,undefined,1498223311392
80ec3f676e17debf,-1.0548384460404168,-0.9620082058165567,-0.8993633310722273,-0.9646174221827055,-1.6101859267168082,-1.83573739071182,1.9257272865376784,-0.9432207187083523,-0.29303765954842675,-0.6783561997768018,0.08437306464762219,-0.08187324069909675,0.26620293003565065,-1.0891680598580151,-1.2165117040040936,-0.4854581694659949,-1.069309008193403,-1.1390615175260848,-1.2087069999628772,-0.4599935343397104,-1.0841693637000223,-0.4692678999080758,-0.5983925163071581,-0.4435364523992832,undefined,1498223312885
80ec3f676e17debf,-1.0298901549144188,-0.9162210359630885,-0.8738428986111295,-0.9521838477370846,-1.662262410368456,-1.8496149986250836,1.9242309247005376,-0.9660680760892586,-0.2790430061067658,-0.6910488087739639,0.07982665716391135,0.13556836387446253,0.26620293003565065,-1.0806734898044568,-1.215304455950326,-0.3510493209899287,-1.0308642433037651,-1.122574220536359,-1.203579342891057,-0.3684432180512894,-1.0540493710306305,-0.4712909421081381,-0.5956819765091173,-0.45049529065177885,undefined,1498223314383
80ec3f676e17debf,-1.0409782785528496,-0.8369739235327242,-0.8732050148680768,-0.9576087296762168,-1.6267458991047834,-1.8672496687584383,1.9340637750401755,-0.9129987279272075,-0.29262183594521096,-0.681796704086798,0.07630138562574754,0.4467427434192963,1.5108414104278076,-1.0753643893893026,-1.2225479258673464,-0.3556840993656194,-1.0328162043960318,-1.1301859770341744,-1.2157525130988318,-0.36141447128086424,-1.0598033854306805,-0.47047879976233503,-0.5911376991041087,-0.4407911754100397,undefined,1498223315978
